ID,sellerRating
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,4
14,4
15,5
16,5
17,7
18,7
19,8
20,8
21,8
22,9
23,10
24,10
25,10
26,13
27,13
28,15
29,17
30,17
31,17
32,17
33,17
34,18
35,18
36,18
37,18
38,18
39,18
40,18
41,18
42,18
43,19
44,20
45,21
46,23
47,24
48,24
49,27
50,28
51,29
52,29
53,29
54,29
55,30
56,30
57,33
58,37
59,37
60,37
61,39
62,41
63,41
64,41
65,41
66,50
67,50
68,50
69,50
70,50
71,50
72,53
73,53
74,53
75,53
76,53
77,53
78,53
79,53
80,53
81,53
82,53
83,53
84,53
85,53
86,53
87,53
88,53
89,53
90,54
91,54
92,56
93,65
94,67
95,69
96,70
97,71
98,71
99,71
100,72
101,72
102,76
103,77
104,81
105,83
106,83
107,88
108,88
109,88
110,88
111,89
112,89
113,91
114,93
115,97
116,100
117,100
118,100
119,104
120,104
121,104
122,104
123,104
124,105
125,105
126,105
127,105
128,105
129,105
130,105
131,105
132,105
133,105
134,106
135,107
136,110
137,110
138,112
139,112
140,113
141,113
142,115
143,118
144,118
145,118
146,118
147,121
148,123
149,123
150,130
151,133
152,133
153,133
154,133
155,133
156,133
157,137
158,141
159,141
160,141
161,146
162,146
163,146
164,146
165,146
166,148
167,148
168,149
169,149
170,156
171,157
172,157
173,157
174,158
175,163
176,163
177,164
178,164
179,164
180,164
181,164
182,164
183,164
184,164
185,164
186,164
187,164
188,164
189,164
190,164
191,164
192,164
193,164
194,164
195,164
196,164
197,164
198,165
199,166
200,170
201,170
202,170
203,170
204,174
205,193
206,197
207,197
208,197
209,197
210,199
211,200
212,200
213,201
214,201
215,205
216,205
217,205
218,205
219,205
220,205
221,205
222,205
223,205
224,205
225,205
226,206
227,212
228,215
229,215
230,221
231,227
232,241
233,265
234,266
235,268
236,277
237,277
238,278
239,279
240,279
241,280
242,286
243,293
244,294
245,299
246,305
247,309
248,315
249,316
250,320
251,320
252,320
253,320
254,321
255,326
256,335
257,336
258,337
259,351
260,351
261,351
262,351
263,351
264,351
265,351
266,352
267,352
268,352
269,352
270,359
271,359
272,361
273,362
274,365
275,366
276,366
277,370
278,376
279,380
280,384
281,387
282,387
283,390
284,393
285,393
286,393
287,405
288,405
289,410
290,411
291,411
292,415
293,421
294,429
295,433
296,434
297,439
298,442
299,442
300,454
301,454
302,471
303,479
304,479
305,501
306,510
307,519
308,519
309,523
310,526
311,526
312,526
313,526
314,526
315,526
316,533
317,533
318,533
319,533
320,536
321,537
322,541
323,541
324,541
325,541
326,548
327,552
328,569
329,569
330,572
331,572
332,576
333,578
334,578
335,578
336,578
337,578
338,578
339,578
340,578
341,578
342,584
343,593
344,595
345,595
346,595
347,595
348,595
349,595
350,595
351,595
352,595
353,595
354,613
355,626
356,632
357,632
358,632
359,632
360,632
361,637
362,638
363,638
364,650
365,657
366,657
367,657
368,657
369,664
370,666
371,668
372,670
373,671
374,671
375,671
376,671
377,671
378,671
379,671
380,671
381,671
382,673
383,678
384,681
385,686
386,686
387,686
388,686
389,686
390,686
391,686
392,686
393,686
394,686
395,686
396,686
397,686
398,686
399,686
400,686
401,686
402,686
403,686
404,686
405,686
406,686
407,686
408,686
409,686
410,686
411,686
412,686
413,686
414,686
415,686
416,686
417,686
418,686
419,686
420,686
421,686
422,686
423,688
424,696
425,704
426,709
427,715
428,730
429,730
430,730
431,739
432,739
433,743
434,743
435,743
436,765
437,790
438,790
439,790
440,793
441,816
442,816
443,825
444,837
445,841
446,841
447,841
448,841
449,841
450,841
451,841
452,841
453,841
454,841
455,841
456,841
457,841
458,841
459,841
460,841
461,841
462,841
463,841
464,841
465,841
466,841
467,843
468,844
469,846
470,846
471,858
472,862
473,863
474,865
475,865
476,865
477,865
478,865
479,884
480,884
481,915
482,920
483,933
484,942
485,945
486,957
487,957
488,957
489,957
490,966
491,983
492,985
493,985
494,985
495,985
496,985
497,985
498,985
499,985
500,988
501,993
502,993
503,993
504,993
505,993
506,993
507,993
508,993
509,993
510,993
511,1029
512,1029
513,1029
514,1029
515,1029
516,1029
517,1029
518,1029
519,1029
520,1075
521,1100
522,1122
523,1124
524,1127
525,1130
526,1130
527,1131
528,1135
529,1135
530,1139
531,1139
532,1139
533,1147
534,1148
535,1148
536,1148
537,1148
538,1148
539,1148
540,1162
541,1163
542,1166
543,1166
544,1166
545,1166
546,1179
547,1179
548,1179
549,1179
550,1180
551,1180
552,1180
553,1192
554,1215
555,1215
556,1215
557,1215
558,1215
559,1215
560,1256
561,1256
562,1256
563,1265
564,1301
565,1301
566,1301
567,1301
568,1301
569,1301
570,1304
571,1304
572,1304
573,1317
574,1322
575,1329
576,1349
577,1351
578,1364
579,1364
580,1364
581,1364
582,1364
